Area,BHK,Bathroom,Locality,Price
2125,3,3,CommonWealth Games Village,36500000
2065,3,4,CommonWealth Games Village,42500000
3405,5,4,CommonWealth Games Village,71500000
3050,5,5,CommonWealth Games Village,65000000
2300,5,6,CommonWealth Games Village,58000000
1455,2,2,CommonWealth Games Village,27500000
3400,5,5,CommonWealth Games Village,70000000
3100,5,5,CommonWealth Games Village,65000000
1400,2,3,CommonWealth Games Village,28600000
2126,3,3,CommonWealth Games Village,39000000
1815,3,3,CommonWealth Games Village,32500000
1700,3,3,CommonWealth Games Village,34000000
700,2,2,Alaknanda,16500000
980,2,2,Alaknanda,13800000
1350,3,3,Alaknanda,21000000
1800,3,3,Alaknanda,22500000
968.751,2,2,Alaknanda,15000000
1250,3,3,Alaknanda,20000000
1800,3,3,Alaknanda,20000000
1400,3,2,Alaknanda,26000000
1000,3,3,Alaknanda,19500000
1800,4,2,Alaknanda,21500000
1500,3,3,Alaknanda,26500000
1600,3,3,Alaknanda,20000000
1400,3,3,Alaknanda,18000000
1400,3,2,Alaknanda,19000000
2700,4,4,Greater Kailash,36500000
1100,2,2,Alaknanda,15000000
1200,2,2,Alaknanda,17500000
1400,2,2,Alaknanda,14000000
1500,3,3,Alaknanda,21000000
1320,3,2,Alaknanda,15600000
1300,3,3,Alaknanda,19000000
1150,2,2,Alaknanda,16500000
1440,3,3,Alaknanda,19000000
1400,2,2,Alaknanda,16500000
450,1,1,Alaknanda,3000000
1300,2,2,Alaknanda,15000000
1200,2,2,Alaknanda,14300000
1300,3,2,Alaknanda,18500000
1400,3,3,Alaknanda,19000000
1400,3,3,Alaknanda,19000000
1500,3,2,Sarita Vihar,13500000
1600,4,2,DDA Flats,15800000
1200,10,4,DDA Flats,17000000
1600,4,2,DDA Flats,15500000
1250,3,2,DDA Flats,16000000
950,2,2,DDA Flats,12900000
1200,3,3,DDA Flats,13500000
1400,4,2,DDA Flats,17800000
950,2,2,DDA Flats,13200000
1350,3,3,DDA Flats,14000000
1550,4,2,DDA Flats,17500000
1300,3,2,DDA Flats,17000000
1000,2,2,DDA Flats,13000000
1500,3,3,DDA Flats,17000000
950,2,2,DDA Flats,12700000
1200,3,2,DDA Flats,13500000
1400,4,2,DDA Flats,17400000
1500,4,2,DDA Flats,17800000
1050,2,2,DDA Flats,12700000
1550,4,2,DDA Flats,16200000
950,2,2,DDA Flats,11100000
1150,2,2,DDA Flats,13600000
1150,2,2,DDA Flats,13100000
1150,2,2,DDA Flats,12500000
1500,3,2,DDA Flats,13600000
1150,2,2,Sarita Vihar,13500000
1500,3,2,Sarita Vihar,14000000
1150,2,2,DDA Flats,10800000
900,3,2,Sultanpur,9000000
1150,3,2,Sultanpur,6300000
1000,3,3,Sultanpur,5500000
450,1,1,Sultanpur,2350000
1350,3,3,Sultanpur,8500000
445,1,2,Sultanpur,1650000
1200,2,2,Sultanpur,10000000
50,1,1,Manglapuri,1500000
1100,2,2,Sultanpur,2800000
700,2,2,Sultanpur,2600000
500,1,1,Sultanpur,2350000
540,1,1,Sultanpur,2350000
450,1,1,Sultanpur,2000000
800,2,2,Sultanpur,5000000
700,2,2,Sultanpur,3500000
750,2,2,Sultanpur,4500000
